 LLama3.3 70B,success,offset,failed,,,,,,
NL_1,200,2,8,,,,,,
NL_2,177,19,14,,,,,,
NL_3,125,26,59,,,,,,
,,,,,,,,,
DeepSeekR1 70B,success,offset,failed,,,,,,
NL_1,189,4,17,,,,,,
NL_2,177,17,16,,,,,,
NL_3,103,36,71,,,,,,
,,,,,,,,,
Qwen2.5 72B,Correct,Shifted,Failed,,,,,,
NL_1,197,9,4,,,,,,
NL_2,165,7,38,,,,,,
NL_3,98,22,90,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Measurements by different LLMs and NLs for RQ1,,,,,,,,,
,LLaMA3.3,,,DeepseekR1,,,Qwen2.5,,
,#Psucc,#Pgram-Error,# Psem-shift,#Psucc,#Pgram-Error,# Psem-shift,#Psucc,#Pgram-Error,# Psem-shift
NL_1,95.2,3.8,1,90,1.9,8.1,93.8,4.3,1.9
NL_2,84.2,6.8,9,84.3,8.1,7.6,78.6,3.3,18.1
NL_3,59.5,28,12.5,49,17.1,33.9,46.7,10.5,42.8
